,Product,variable,value,factor
78,"L68BXL683 Real estate services, excluding on a fee or contract basis and imputed rent",Intermediate consumption at basic prices,0.6048222059377566,total impact
79,M691 Legal services,Intermediate consumption at basic prices,0.3244829773667449,total impact
80,"M692 Accounting, bookkeeping and auditing services; tax consulting services",Intermediate consumption at basic prices,0.2585658801095158,total impact
81,M70 Services of head offices; management consulting services,Intermediate consumption at basic prices,0.5003824048710953,total impact
82,M71 Architectural and engineering services; technical testing and analysis services,Intermediate consumption at basic prices,0.7249098104510243,total impact
83,M72 Scientific research and development services,Intermediate consumption at basic prices,0.6795204054467276,total impact
84,M73 Advertising and market research services,Intermediate consumption at basic prices,0.6811616723118958,total impact
85,"M74 Other professional, scientific and technical services",Intermediate consumption at basic prices,0.8810688940055217,total impact
86,M75 Veterinary services,Intermediate consumption at basic prices,0.3402635048449653,total impact
87,N77 Rental and leasing services,Intermediate consumption at basic prices,0.4950994954490787,total impact
88,N78 Employment services,Intermediate consumption at basic prices,0.5461028625259733,total impact
89,"N79 Travel agency, tour operator and other reservation services and related services",Intermediate consumption at basic prices,0.7670920646483046,total impact
90,N80 Security and investigation services,Intermediate consumption at basic prices,0.6749700971773737,total impact
91,N81 Services to buildings and landscape,Intermediate consumption at basic prices,0.8575285695337926,total impact
92,"N82 Office administrative, office support and other business support services",Intermediate consumption at basic prices,0.6238694037235495,total impact
93,O84 Public administration and defence services; compulsory social security services,Intermediate consumption at basic prices,0.5667984223068964,total impact
94,P85 Education services,Intermediate consumption at basic prices,0.391136875962941,total impact
95,Q86 Human health services,Intermediate consumption at basic prices,0.4730198386645899,total impact
96,Q87 & Q88 Residential Care  & Social Work Activities,Intermediate consumption at basic prices,0.5582776112826083,total impact
97,"R90 Creative, arts and entertainment services",Intermediate consumption at basic prices,0.5972349890601917,total impact
98,"R91 Libraries, archives, museums and other cultural services",Intermediate consumption at basic prices,0.6719410615752903,total impact
99,R92 Gambling and betting services,Intermediate consumption at basic prices,0.6866477796443802,total impact
100,R93 Sports services and amusement and recreation services,Intermediate consumption at basic prices,0.5387767651616989,total impact
101,S94 Services furnished by membership organisations,Intermediate consumption at basic prices,0.6307638559981361,total impact
102,S95 Repair services of computers and personal and household goods,Intermediate consumption at basic prices,0.4611228436595242,total impact
103,S96 Other personal services,Intermediate consumption at basic prices,0.2913467215670891,total impact
104,T97 Services of households as employers of domestic personnel,Intermediate consumption at basic prices,0.0,total impact
105,"A01 Products of agriculture, hunting and related services","Use of imported products, cif",0.1431155010134028,total impact
106,"A02 Products of forestry, logging and related services","Use of imported products, cif",0.1029383038273732,total impact
107,A03 Fish and other fishing products; aquaculture products; support services to fishing,"Use of imported products, cif",0.2476488785279929,total impact
108,B05 Coal and lignite,"Use of imported products, cif",0.1424017578019687,total impact
109,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Use of imported products, cif",0.112950539381926,total impact
110,B08 Other mining and quarrying products,"Use of imported products, cif",0.2718731615853482,total impact
111,B09 Mining support services,"Use of imported products, cif",0.2879736932010227,total impact
112,C101 Preserved meat and meat products,"Use of imported products, cif",0.1607620420482898,total impact
113,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Use of imported products, cif",0.174463892612404,total impact
114,C104 Vegetable and animal oils and fats,"Use of imported products, cif",0.3827624218851017,total impact
115,C105 Dairy products,"Use of imported products, cif",0.1480642478728638,total impact
116,"C106 Grain mill products, starches and starch products","Use of imported products, cif",0.3016313803913682,total impact
117,C107 Bakery and farinaceous products,"Use of imported products, cif",0.1484801780753634,total impact
118,C108 Other food products,"Use of imported products, cif",0.1842386686113866,total impact
119,C109 Prepared animal feeds,"Use of imported products, cif",0.2283079107452929,total impact
120,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,"Use of imported products, cif",0.1640324511249734,total impact
121,C1107 Soft drinks,"Use of imported products, cif",0.1948198979014952,total impact
122,C13 Textiles,"Use of imported products, cif",0.2019172288651539,total impact
123,C14 Wearing apparel,"Use of imported products, cif",0.1090966027977876,total impact
124,C15 Leather and related products,"Use of imported products, cif",0.2033091106869489,total impact
125,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Use of imported products, cif",0.3431641161959404,total impact
126,C17 Paper and paper products,"Use of imported products, cif",0.3023015747453068,total impact
127,C18 Printing and recording services,"Use of imported products, cif",0.2742687998011432,total impact
128,C19 Coke and refined petroleum products,"Use of imported products, cif",0.7728137122580435,total impact
129,"C203 Paints, varnishes and similar coatings, printing ink and mastics","Use of imported products, cif",0.3044048687940866,total impact
130,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Use of imported products, cif",0.2231911795293195,total impact
131,C205 Other chemical products,"Use of imported products, cif",0.3824019295112529,total impact
132,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Use of imported products, cif",0.4051048821712719,total impact
133,C20B Petrochemicals - 20.14/16/17/60,"Use of imported products, cif",0.4133902045142539,total impact
134,"C20C Dyestuffs, agro-chemicals - 20.12/20","Use of imported products, cif",0.3123273830426819,total impact
135,C21 Basic pharmaceutical products and pharmaceutical preparations,"Use of imported products, cif",0.239310571969441,total impact
136,C22 Rubber and plastic products,"Use of imported products, cif",0.3786263766489426,total impact
137,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster","Use of imported products, cif",0.2302853893812908,total impact
138,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Use of imported products, cif",0.2741725819086758,total impact
139,C241_3 Basic iron and steel,"Use of imported products, cif",0.3409018875426204,total impact
140,C244_5 Other basic metals and casting,"Use of imported products, cif",0.4656249152465855,total impact
141,C254 Weapons and ammunition,"Use of imported products, cif",0.2537985704684227,total impact
142,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Use of imported products, cif",0.2623158873744027,total impact
143,"C26 Computer, electronic and optical products","Use of imported products, cif",0.1785321052597595,total impact
144,C27 Electrical equipment,"Use of imported products, cif",0.3298091558484554,total impact
145,C28 Machinery and equipment n.e.c.,"Use of imported products, cif",0.3213493130513642,total impact
146,"C29 Motor vehicles, trailers and semi-trailers","Use of imported products, cif",0.4220997621299941,total impact
147,C301 Ships and boats,"Use of imported products, cif",0.1715775857128869,total impact
148,C303 Air and spacecraft and related machinery,"Use of imported products, cif",0.3053415072544442,total impact
149,C30OTHER Other transport equipment - 30.2/4/9,"Use of imported products, cif",0.3405271582374622,total impact
150,C31 Furniture,"Use of imported products, cif",0.2188828931471526,total impact
151,C32 Other manufactured goods,"Use of imported products, cif",0.2434521586166247,total impact
152,C3315 Repair and maintenance of ships and boats,"Use of imported products, cif",0.1357230316104489,total impact
153,C3316 Repair and maintenance of aircraft and spacecraft,"Use of imported products, cif",0.2521368391234772,total impact
154,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,"Use of imported products, cif",0.2519603429332882,total impact
155,"D351 Electricity, transmission and distribution","Use of imported products, cif",0.1926759499578047,total impact
156,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Use of imported products, cif",0.2039149249858776,total impact
157,E36 Natural water; water treatment and supply services,"Use of imported products, cif",0.05594085789628613,total impact
158,E37 Sewerage services; sewage sludge,"Use of imported products, cif",0.02057646346977494,total impact
159,"E38 Waste collection, treatment and disposal services; materials recovery services","Use of imported products, cif",0.1961586425143705,total impact
160,E39 Remediation services and other waste management services,"Use of imported products, cif",0.06592598116659458,total impact
161,"F41, F42 & F43 Construction","Use of imported products, cif",0.1260889267893194,total impact
162,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Use of imported products, cif",0.1649951563814782,total impact
163,"G46 Wholesale trade services, except of motor vehicles and motorcycles","Use of imported products, cif",0.1611308866370075,total impact
164,"G47 Retail trade services, except of motor vehicles and motorcycles","Use of imported products, cif",0.09710601079829458,total impact
165,H491_2 Rail transport services,"Use of imported products, cif",0.130377028688484,total impact
166,"H493_5 Land transport services and transport services via pipelines, excluding rail transport","Use of imported products, cif",0.1478605238424018,total impact
167,H50 Water transport services,"Use of imported products, cif",0.1656136797528277,total impact
168,H51 Air transport services,"Use of imported products, cif",0.345639340609615,total impact
169,H52 Warehousing and support services for transportation,"Use of imported products, cif",0.128128376028638,total impact
170,H53 Postal and courier services,"Use of imported products, cif",0.1098207774330244,total impact
171,I55 Accommodation services,"Use of imported products, cif",0.07377908370004284,total impact
172,I56 Food and beverage serving services,"Use of imported products, cif",0.1059064286340471,total impact
173,J58 Publishing services,"Use of imported products, cif",0.1400857249936715,total impact
174,"J59 & J60 Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Use of imported products, cif",0.1793138693475296,total impact
175,J61 Telecommunications services,"Use of imported products, cif",0.1497563642771165,total impact
176,"J62 Computer programming, consultancy and related services","Use of imported products, cif",0.1552342101360122,total impact
177,J63 Information services,"Use of imported products, cif",0.1376392991410508,total impact
178,"K64 Financial services, except insurance and pension funding","Use of imported products, cif",0.09990824856770433,total impact
179,"K65.1-2 & K65.3 Insurance, reinsurance and pension funding services, except compulsory social security","Use of imported products, cif",0.1859174059481214,total impact
180,K66 Services auxiliary to financial services and insurance services,"Use of imported products, cif",0.1265279540173383,total impact
181,L683 Real estate services on a fee or contract basis,"Use of imported products, cif",0.06298210968826337,total impact
182,L68A Owner-Occupiers' Housing Services,"Use of imported products, cif",0.01762599778748156,total impact
183,"L68BXL683 Real estate services, excluding on a fee or contract basis and imputed rent","Use of imported products, cif",0.06680345731471184,total impact
184,M691 Legal services,"Use of imported products, cif",0.05588056570146657,total impact
185,"M692 Accounting, bookkeeping and auditing services; tax consulting services","Use of imported products, cif",0.07678163471100434,total impact
186,M70 Services of head offices; management consulting services,"Use of imported products, cif",0.213554744684437,total impact
187,M71 Architectural and engineering services; technical testing and analysis services,"Use of imported products, cif",0.2026559025921904,total impact
188,M72 Scientific research and development services,"Use of imported products, cif",0.1525880135542974,total impact
189,M73 Advertising and market research services,"Use of imported products, cif",0.1080196967716621,total impact
190,"M74 Other professional, scientific and technical services","Use of imported products, cif",0.1110655586577499,total impact
191,M75 Veterinary services,"Use of imported products, cif",0.06781881172993595,total impact
192,N77 Rental and leasing services,"Use of imported products, cif",0.09009898972465427,total impact
193,N78 Employment services,"Use of imported products, cif",0.09093953113228548,total impact
194,"N79 Travel agency, tour operator and other reservation services and related services","Use of imported products, cif",0.2126146696051512,total impact
195,N80 Security and investigation services,"Use of imported products, cif",0.06818795996639691,total impact
196,N81 Services to buildings and landscape,"Use of imported products, cif",0.08176423295857545,total impact
197,"N82 Office administrative, office support and other business support services","Use of imported products, cif",0.1625391919894943,total impact
198,O84 Public administration and defence services; compulsory social security services,"Use of imported products, cif",0.09390927878906036,total impact
199,P85 Education services,"Use of imported products, cif",0.0440778976370001,total impact
200,Q86 Human health services,"Use of imported products, cif",0.1044425411613496,total impact
201,Q87 & Q88 Residential Care  & Social Work Activities,"Use of imported products, cif",0.04524405664932609,total impact
202,"R90 Creative, arts and entertainment services","Use of imported products, cif",0.07074410649683989,total impact
203,"R91 Libraries, archives, museums and other cultural services","Use of imported products, cif",0.1034566317481799,total impact
204,R92 Gambling and betting services,"Use of imported products, cif",0.0933962932052676,total impact
205,R93 Sports services and amusement and recreation services,"Use of imported products, cif",0.09512472896820827,total impact
206,S94 Services furnished by membership organisations,"Use of imported products, cif",0.1074317123078652,total impact
207,S95 Repair services of computers and personal and household goods,"Use of imported products, cif",0.119808573058579,total impact
208,S96 Other personal services,"Use of imported products, cif",0.04591356874762829,total impact
209,T97 Services of households as employers of domestic personnel,"Use of imported products, cif",0.0,total impact
210,"A01 Products of agriculture, hunting and related services",Taxes less subsidies on products,0.02936952540211971,total impact
211,"A02 Products of forestry, logging and related services",Taxes less subsidies on products,0.01778006159727141,total impact
212,A03 Fish and other fishing products; aquaculture products; support services to fishing,Taxes less subsidies on products,0.02394030316308851,total impact
213,B05 Coal and lignite,Taxes less subsidies on products,0.02212060100659978,total impact
214,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Taxes less subsidies on products,0.01063884139286475,total impact
215,B08 Other mining and quarrying products,Taxes less subsidies on products,0.0326201359452481,total impact
216,B09 Mining support services,Taxes less subsidies on products,0.01263189732611396,total impact
217,C101 Preserved meat and meat products,Taxes less subsidies on products,0.01847555980035473,total impact
218,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Taxes less subsidies on products,0.01688386702183185,total impact
219,C104 Vegetable and animal oils and fats,Taxes less subsidies on products,0.01490218554875343,total impact
220,C105 Dairy products,Taxes less subsidies on products,0.02095569539970569,total impact
221,"C106 Grain mill products, starches and starch products",Taxes less subsidies on products,0.01459115453652455,total impact
222,C107 Bakery and farinaceous products,Taxes less subsidies on products,0.01419913223969867,total impact
223,C108 Other food products,Taxes less subsidies on products,0.01367421524855492,total impact
224,C109 Prepared animal feeds,Taxes less subsidies on products,0.01850120167011848,total impact
225,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,Taxes less subsidies on products,0.04275639120873211,total impact
226,C1107 Soft drinks,Taxes less subsidies on products,0.01451699587381488,total impact
227,C13 Textiles,Taxes less subsidies on products,0.007948726303984282,total impact
228,C14 Wearing apparel,Taxes less subsidies on products,0.007999842896384366,total impact
229,C15 Leather and related products,Taxes less subsidies on products,0.01052783050245047,total impact
230,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Taxes less subsidies on products,0.0101702846836779,total impact
231,C17 Paper and paper products,Taxes less subsidies on products,0.01222685273687284,total impact
232,C18 Printing and recording services,Taxes less subsidies on products,0.008075804983075703,total impact
233,C19 Coke and refined petroleum products,Taxes less subsidies on products,0.03091697117366373,total impact
234,"C203 Paints, varnishes and similar coatings, printing ink and mastics",Taxes less subsidies on products,0.01244180272922254,total impact
235,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Taxes less subsidies on products,0.008210030780798147,total impact
236,C205 Other chemical products,Taxes less subsidies on products,0.01230702759908633,total impact
237,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Taxes less subsidies on products,0.01751025053951908,total impact
238,C20B Petrochemicals - 20.14/16/17/60,Taxes less subsidies on products,0.0296605419367039,total impact
239,"C20C Dyestuffs, agro-chemicals - 20.12/20",Taxes less subsidies on products,0.01136653789519625,total impact
240,C21 Basic pharmaceutical products and pharmaceutical preparations,Taxes less subsidies on products,0.008838857173862654,total impact
241,C22 Rubber and plastic products,Taxes less subsidies on products,0.0124047370659954,total impact
242,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster",Taxes less subsidies on products,0.0246839345769568,total impact
243,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Taxes less subsidies on products,0.03052964925265412,total impact
244,C241_3 Basic iron and steel,Taxes less subsidies on products,0.01880075593356934,total impact
245,C244_5 Other basic metals and casting,Taxes less subsidies on products,0.008022141008878528,total impact
246,C254 Weapons and ammunition,Taxes less subsidies on products,0.008165454543527496,total impact
247,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Taxes less subsidies on products,0.009766297288326882,total impact
248,"C26 Computer, electronic and optical products",Taxes less subsidies on products,0.006317729209983757,total impact
249,C27 Electrical equipment,Taxes less subsidies on products,0.008739792742277697,total impact
250,C28 Machinery and equipment n.e.c.,Taxes less subsidies on products,0.008825730263717382,total impact
251,"C29 Motor vehicles, trailers and semi-trailers",Taxes less subsidies on products,0.01026395519537925,total impact
252,C301 Ships and boats,Taxes less subsidies on products,0.01431109999111895,total impact
253,C303 Air and spacecraft and related machinery,Taxes less subsidies on products,0.01125292961678545,total impact
254,C30OTHER Other transport equipment - 30.2/4/9,Taxes less subsidies on products,0.01320248070226892,total impact
255,C31 Furniture,Taxes less subsidies on products,0.009712184707177298,total impact
256,C32 Other manufactured goods,Taxes less subsidies on products,0.009547884742845592,total impact
257,C3315 Repair and maintenance of ships and boats,Taxes less subsidies on products,0.00712949510727857,total impact
258,C3316 Repair and maintenance of aircraft and spacecraft,Taxes less subsidies on products,0.008504341929774494,total impact
259,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,Taxes less subsidies on products,0.01081619447597497,total impact
260,"D351 Electricity, transmission and distribution",Taxes less subsidies on products,0.02799409362003685,total impact
261,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Taxes less subsidies on products,0.02057868282681082,total impact
262,E36 Natural water; water treatment and supply services,Taxes less subsidies on products,0.009083961564569896,total impact
263,E37 Sewerage services; sewage sludge,Taxes less subsidies on products,0.01757299439580294,total impact
264,"E38 Waste collection, treatment and disposal services; materials recovery services",Taxes less subsidies on products,0.09206865663412715,total impact
265,E39 Remediation services and other waste management services,Taxes less subsidies on products,0.0156816746897153,total impact
266,"F41, F42 & F43 Construction",Taxes less subsidies on products,0.03623714898940263,total impact
267,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,Taxes less subsidies on products,0.0115513230597606,total impact
268,"G46 Wholesale trade services, except of motor vehicles and motorcycles",Taxes less subsidies on products,0.01907673384171527,total impact
269,"G47 Retail trade services, except of motor vehicles and motorcycles",Taxes less subsidies on products,0.01183149877081857,total impact
270,H491_2 Rail transport services,Taxes less subsidies on products,0.01056472093349903,total impact
271,"H493_5 Land transport services and transport services via pipelines, excluding rail transport",Taxes less subsidies on products,0.04537601403835241,total impact
272,H50 Water transport services,Taxes less subsidies on products,0.04210232720291494,total impact
273,H51 Air transport services,Taxes less subsidies on products,0.1040564560704603,total impact
274,H52 Warehousing and support services for transportation,Taxes less subsidies on products,0.02226787362809849,total impact
275,H53 Postal and courier services,Taxes less subsidies on products,0.04806480695632075,total impact
276,I55 Accommodation services,Taxes less subsidies on products,0.03059948702524907,total impact
277,I56 Food and beverage serving services,Taxes less subsidies on products,0.03595935836220812,total impact
278,J58 Publishing services,Taxes less subsidies on products,0.007584274993515571,total impact
279,"J59 & J60 Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Taxes less subsidies on products,0.009204134403611751,total impact
280,J61 Telecommunications services,Taxes less subsidies on products,0.005455771138149428,total impact
281,"J62 Computer programming, consultancy and related services",Taxes less subsidies on products,0.0097518042442372,total impact
282,J63 Information services,Taxes less subsidies on products,0.00824894661222352,total impact
283,"K64 Financial services, except insurance and pension funding",Taxes less subsidies on products,0.05382185663782139,total impact
284,"K65.1-2 & K65.3 Insurance, reinsurance and pension funding services, except compulsory social security",Taxes less subsidies on products,0.05603799871057747,total impact
285,K66 Services auxiliary to financial services and insurance services,Taxes less subsidies on products,0.04329010794197794,total impact
286,L683 Real estate services on a fee or contract basis,Taxes less subsidies on products,0.01526765857082824,total impact
287,L68A Owner-Occupiers' Housing Services,Taxes less subsidies on products,0.007067223478315337,total impact
288,"L68BXL683 Real estate services, excluding on a fee or contract basis and imputed rent",Taxes less subsidies on products,0.01987788338750115,total impact
289,M691 Legal services,Taxes less subsidies on products,0.004847042584482677,total impact
290,"M692 Accounting, bookkeeping and auditing services; tax consulting services",Taxes less subsidies on products,0.006114085581491156,total impact
291,M70 Services of head offices; management consulting services,Taxes less subsidies on products,0.01309048888342675,total impact
292,M71 Architectural and engineering services; technical testing and analysis services,Taxes less subsidies on products,0.01423432172366458,total impact
293,M72 Scientific research and development services,Taxes less subsidies on products,0.01102532400505646,total impact
294,M73 Advertising and market research services,Taxes less subsidies on products,0.01102354253801286,total impact
295,"M74 Other professional, scientific and technical services",Taxes less subsidies on products,0.01662612556911162,total impact
296,M75 Veterinary services,Taxes less subsidies on products,0.005963091975041773,total impact
297,N77 Rental and leasing services,Taxes less subsidies on products,0.01197377882480399,total impact
298,N78 Employment services,Taxes less subsidies on products,0.004892787375450933,total impact
299,"N79 Travel agency, tour operator and other reservation services and related services",Taxes less subsidies on products,0.04293944790404206,total impact
300,N80 Security and investigation services,Taxes less subsidies on products,0.009486297337272668,total impact
301,N81 Services to buildings and landscape,Taxes less subsidies on products,0.01206677333128725,total impact
