,product,variable,value,factor,product,variable,value,factor
420,"Products of agriculture, hunting and related services",Compensation of employees,2.83,Ratio of direct to total,"Products of agriculture, hunting and related services",Compensation of employees,0.371,total impact
421,"Products of forestry, logging and related services",Compensation of employees,1.985,Ratio of direct to total,"Products of forestry, logging and related services",Compensation of employees,0.577,total impact
422,Fish and other fishing products; aquaculture products; support services to fishing,Compensation of employees,2.842,Ratio of direct to total,Fish and other fishing products; aquaculture products; support services to fishing,Compensation of employees,0.408,total impact
423,Coal and lignite,Compensation of employees,2.102,Ratio of direct to total,Coal and lignite,Compensation of employees,0.457,total impact
424,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Compensation of employees,2.962,Ratio of direct to total,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Compensation of employees,0.247,total impact
425,Other mining and quarrying products,Compensation of employees,2.495,Ratio of direct to total,Other mining and quarrying products,Compensation of employees,0.386,total impact
426,Mining support services,Compensation of employees,2.506,Ratio of direct to total,Mining support services,Compensation of employees,0.547,total impact
427,Preserved meat and meat products,Compensation of employees,2.766,Ratio of direct to total,Preserved meat and meat products,Compensation of employees,0.524,total impact
428,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Compensation of employees,2.701,Ratio of direct to total,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Compensation of employees,0.533,total impact
429,Vegetable and animal oils and fats,Compensation of employees,2.995,Ratio of direct to total,Vegetable and animal oils and fats,Compensation of employees,0.384,total impact
430,Dairy products,Compensation of employees,3.465,Ratio of direct to total,Dairy products,Compensation of employees,0.449,total impact
431,"Grain mill products, starches and starch products",Compensation of employees,3.176,Ratio of direct to total,"Grain mill products, starches and starch products",Compensation of employees,0.461,total impact
432,Bakery and farinaceous products,Compensation of employees,1.946,Ratio of direct to total,Bakery and farinaceous products,Compensation of employees,0.567,total impact
433,Other food products,Compensation of employees,2.114,Ratio of direct to total,Other food products,Compensation of employees,0.498,total impact
434,Prepared animal feeds,Compensation of employees,4.547,Ratio of direct to total,Prepared animal feeds,Compensation of employees,0.458,total impact
435,Alcoholic beverages  & Tobacco products,Compensation of employees,2.92,Ratio of direct to total,Alcoholic beverages  & Tobacco products,Compensation of employees,0.416,total impact
436,Soft drinks,Compensation of employees,3.005,Ratio of direct to total,Soft drinks,Compensation of employees,0.411,total impact
437,Textiles,Compensation of employees,1.434,Ratio of direct to total,Textiles,Compensation of employees,0.461,total impact
438,Wearing apparel,Compensation of employees,1.47,Ratio of direct to total,Wearing apparel,Compensation of employees,0.553,total impact
439,Leather and related products,Compensation of employees,1.708,Ratio of direct to total,Leather and related products,Compensation of employees,0.48,total impact
440,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Compensation of employees,1.717,Ratio of direct to total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Compensation of employees,0.398,total impact
441,Paper and paper products,Compensation of employees,1.784,Ratio of direct to total,Paper and paper products,Compensation of employees,0.448,total impact
442,Printing and recording services,Compensation of employees,1.563,Ratio of direct to total,Printing and recording services,Compensation of employees,0.487,total impact
443,Coke and refined petroleum products,Compensation of employees,2.433,Ratio of direct to total,Coke and refined petroleum products,Compensation of employees,0.062,total impact
444,"Paints, varnishes and similar coatings, printing ink and mastics",Compensation of employees,1.703,Ratio of direct to total,"Paints, varnishes and similar coatings, printing ink and mastics",Compensation of employees,0.477,total impact
445,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Compensation of employees,1.841,Ratio of direct to total,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Compensation of employees,0.427,total impact
446,Other chemical products,Compensation of employees,1.991,Ratio of direct to total,Other chemical products,Compensation of employees,0.35,total impact
447,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Compensation of employees,2.377,Ratio of direct to total,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Compensation of employees,0.294,total impact
448,Petrochemicals - 20.14/16/17/60,Compensation of employees,2.66,Ratio of direct to total,Petrochemicals - 20.14/16/17/60,Compensation of employees,0.304,total impact
449,"Dyestuffs, agro-chemicals - 20.12/20",Compensation of employees,1.551,Ratio of direct to total,"Dyestuffs, agro-chemicals - 20.12/20",Compensation of employees,0.364,total impact
450,Basic pharmaceutical products and pharmaceutical preparations,Compensation of employees,1.801,Ratio of direct to total,Basic pharmaceutical products and pharmaceutical preparations,Compensation of employees,0.385,total impact
451,Rubber and plastic products,Compensation of employees,1.636,Ratio of direct to total,Rubber and plastic products,Compensation of employees,0.413,total impact
452,"Cement, lime, plaster and articles of concrete, cement and plaster",Compensation of employees,1.917,Ratio of direct to total,"Cement, lime, plaster and articles of concrete, cement and plaster",Compensation of employees,0.418,total impact
453,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Compensation of employees,1.771,Ratio of direct to total,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Compensation of employees,0.448,total impact
454,Basic iron and steel,Compensation of employees,2.126,Ratio of direct to total,Basic iron and steel,Compensation of employees,0.421,total impact
455,Other basic metals and casting,Compensation of employees,1.735,Ratio of direct to total,Other basic metals and casting,Compensation of employees,0.331,total impact
456,Weapons and ammunition,Compensation of employees,1.974,Ratio of direct to total,Weapons and ammunition,Compensation of employees,0.555,total impact
457,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Compensation of employees,1.396,Ratio of direct to total,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Compensation of employees,0.462,total impact
458,"Computer, electronic and optical products",Compensation of employees,1.396,Ratio of direct to total,"Computer, electronic and optical products",Compensation of employees,0.576,total impact
459,Electrical equipment,Compensation of employees,1.703,Ratio of direct to total,Electrical equipment,Compensation of employees,0.482,total impact
460,Machinery and equipment n.e.c.,Compensation of employees,1.751,Ratio of direct to total,Machinery and equipment n.e.c.,Compensation of employees,0.443,total impact
461,"Motor vehicles, trailers and semi-trailers",Compensation of employees,2.415,Ratio of direct to total,"Motor vehicles, trailers and semi-trailers",Compensation of employees,0.374,total impact
462,Ships and boats,Compensation of employees,1.747,Ratio of direct to total,Ships and boats,Compensation of employees,0.593,total impact
463,Air and spacecraft and related machinery,Compensation of employees,2.238,Ratio of direct to total,Air and spacecraft and related machinery,Compensation of employees,0.46,total impact
464,Other transport equipment - 30.2/4/9,Compensation of employees,2.346,Ratio of direct to total,Other transport equipment - 30.2/4/9,Compensation of employees,0.473,total impact
465,Furniture,Compensation of employees,1.523,Ratio of direct to total,Furniture,Compensation of employees,0.519,total impact
466,Other manufactured goods,Compensation of employees,1.47,Ratio of direct to total,Other manufactured goods,Compensation of employees,0.464,total impact
467,Repair and maintenance of ships and boats,Compensation of employees,1.378,Ratio of direct to total,Repair and maintenance of ships and boats,Compensation of employees,0.544,total impact
468,Repair and maintenance of aircraft and spacecraft,Compensation of employees,2.197,Ratio of direct to total,Repair and maintenance of aircraft and spacecraft,Compensation of employees,0.492,total impact
469,Rest of repair; Installation - 33.11-14/17/19/20,Compensation of employees,1.588,Ratio of direct to total,Rest of repair; Installation - 33.11-14/17/19/20,Compensation of employees,0.49,total impact
470,"Electricity, transmission and distribution",Compensation of employees,4.981,Ratio of direct to total,"Electricity, transmission and distribution",Compensation of employees,0.288,total impact
471,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Compensation of employees,4.23,Ratio of direct to total,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Compensation of employees,0.278,total impact
472,Natural water; water treatment and supply services,Compensation of employees,1.664,Ratio of direct to total,Natural water; water treatment and supply services,Compensation of employees,0.302,total impact
473,Sewerage services; sewage sludge,Compensation of employees,1.443,Ratio of direct to total,Sewerage services; sewage sludge,Compensation of employees,0.212,total impact
474,"Waste collection, treatment and disposal services; materials recovery services",Compensation of employees,1.939,Ratio of direct to total,"Waste collection, treatment and disposal services; materials recovery services",Compensation of employees,0.412,total impact
475,Remediation services and other waste management services,Compensation of employees,2.073,Ratio of direct to total,Remediation services and other waste management services,Compensation of employees,0.392,total impact
476,Construction,Compensation of employees,2.495,Ratio of direct to total,Construction,Compensation of employees,0.416,total impact
477,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Compensation of employees,1.446,Ratio of direct to total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Compensation of employees,0.592,total impact
478,"Wholesale trade services, except of motor vehicles and motorcycles",Compensation of employees,1.612,Ratio of direct to total,"Wholesale trade services, except of motor vehicles and motorcycles",Compensation of employees,0.544,total impact
479,"Retail trade services, except of motor vehicles and motorcycles",Compensation of employees,1.451,Ratio of direct to total,"Retail trade services, except of motor vehicles and motorcycles",Compensation of employees,0.535,total impact
480,Rail transport services,Compensation of employees,2.229,Ratio of direct to total,Rail transport services,Compensation of employees,0.583,total impact
481,"Land transport services and transport services via pipelines, excluding rail transport",Compensation of employees,1.658,Ratio of direct to total,"Land transport services and transport services via pipelines, excluding rail transport",Compensation of employees,0.571,total impact
482,Water transport services,Compensation of employees,1.55,Ratio of direct to total,Water transport services,Compensation of employees,0.365,total impact
483,Air transport services,Compensation of employees,2.237,Ratio of direct to total,Air transport services,Compensation of employees,0.312,total impact
484,Warehousing and support services for transportation,Compensation of employees,1.713,Ratio of direct to total,Warehousing and support services for transportation,Compensation of employees,0.604,total impact
485,Postal and courier services,Compensation of employees,1.493,Ratio of direct to total,Postal and courier services,Compensation of employees,0.617,total impact
486,Accommodation services,Compensation of employees,1.592,Ratio of direct to total,Accommodation services,Compensation of employees,0.499,total impact
487,Food and beverage serving services,Compensation of employees,1.504,Ratio of direct to total,Food and beverage serving services,Compensation of employees,0.577,total impact
488,Publishing services,Compensation of employees,1.645,Ratio of direct to total,Publishing services,Compensation of employees,0.533,total impact
489,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Compensation of employees,2.014,Ratio of direct to total,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Compensation of employees,0.393,total impact
490,Telecommunications services,Compensation of employees,1.384,Ratio of direct to total,Telecommunications services,Compensation of employees,0.453,total impact
491,"Computer programming, consultancy and related services",Compensation of employees,1.469,Ratio of direct to total,"Computer programming, consultancy and related services",Compensation of employees,0.602,total impact
492,Information services,Compensation of employees,1.532,Ratio of direct to total,Information services,Compensation of employees,0.518,total impact
493,"Financial services, except insurance and pension funding",Compensation of employees,1.71,Ratio of direct to total,"Financial services, except insurance and pension funding",Compensation of employees,0.442,total impact
494,"Insurance, reinsurance and pension funding services, except compulsory social security",Compensation of employees,3.492,Ratio of direct to total,"Insurance, reinsurance and pension funding services, except compulsory social security",Compensation of employees,0.297,total impact
495,Services auxiliary to financial services and insurance services,Compensation of employees,1.612,Ratio of direct to total,Services auxiliary to financial services and insurance services,Compensation of employees,0.494,total impact
496,Real estate services on a fee or contract basis,Compensation of employees,1.374,Ratio of direct to total,Real estate services on a fee or contract basis,Compensation of employees,0.622,total impact
497,Owner-Occupiers' Housing Services,Compensation of employees,,Ratio of direct to total,Owner-Occupiers' Housing Services,Compensation of employees,0.058,total impact
498,"Real estate services, excluding on a fee or contract basis and imputed rent",Compensation of employees,2.175,Ratio of direct to total,"Real estate services, excluding on a fee or contract basis and imputed rent",Compensation of employees,0.288,total impact
499,Legal services,Compensation of employees,1.31,Ratio of direct to total,Legal services,Compensation of employees,0.44,total impact
500,"Accounting, bookkeeping and auditing services; tax consulting services",Compensation of employees,1.153,Ratio of direct to total,"Accounting, bookkeeping and auditing services; tax consulting services",Compensation of employees,0.563,total impact
501,Services of head offices; management consulting services,Compensation of employees,1.52,Ratio of direct to total,Services of head offices; management consulting services,Compensation of employees,0.576,total impact
502,Architectural and engineering services; technical testing and analysis services,Compensation of employees,1.779,Ratio of direct to total,Architectural and engineering services; technical testing and analysis services,Compensation of employees,0.613,total impact
503,Scientific research and development services,Compensation of employees,1.69,Ratio of direct to total,Scientific research and development services,Compensation of employees,0.529,total impact
504,Advertising and market research services,Compensation of employees,1.6,Ratio of direct to total,Advertising and market research services,Compensation of employees,0.454,total impact
505,"Other professional, scientific and technical services",Compensation of employees,1.838,Ratio of direct to total,"Other professional, scientific and technical services",Compensation of employees,0.566,total impact
506,Veterinary services,Compensation of employees,1.21,Ratio of direct to total,Veterinary services,Compensation of employees,0.612,total impact
507,Rental and leasing services,Compensation of employees,1.507,Ratio of direct to total,Rental and leasing services,Compensation of employees,0.46,total impact
508,Employment services,Compensation of employees,1.425,Ratio of direct to total,Employment services,Compensation of employees,0.715,total impact
509,"Travel agency, tour operator and other reservation services and related services",Compensation of employees,2.053,Ratio of direct to total,"Travel agency, tour operator and other reservation services and related services",Compensation of employees,0.475,total impact
510,Security and investigation services,Compensation of employees,1.562,Ratio of direct to total,Security and investigation services,Compensation of employees,0.543,total impact
511,Services to buildings and landscape,Compensation of employees,1.859,Ratio of direct to total,Services to buildings and landscape,Compensation of employees,0.508,total impact
512,"Office administrative, office support and other business support services",Compensation of employees,1.576,Ratio of direct to total,"Office administrative, office support and other business support services",Compensation of employees,0.496,total impact
513,Public administration and defence services; compulsory social security services,Compensation of employees,1.409,Ratio of direct to total,Public administration and defence services; compulsory social security services,Compensation of employees,0.568,total impact
514,Education services,Compensation of employees,1.252,Ratio of direct to total,Education services,Compensation of employees,0.688,total impact
515,Human health services,Compensation of employees,1.314,Ratio of direct to total,Human health services,Compensation of employees,0.6,total impact
516,Residential Care  & Social Work Activities,Compensation of employees,1.395,Ratio of direct to total,Residential Care  & Social Work Activities,Compensation of employees,0.734,total impact
517,"Creative, arts and entertainment services",Compensation of employees,1.81,Ratio of direct to total,"Creative, arts and entertainment services",Compensation of employees,0.399,total impact
518,"Libraries, archives, museums and other cultural services",Compensation of employees,1.452,Ratio of direct to total,"Libraries, archives, museums and other cultural services",Compensation of employees,0.591,total impact
519,Gambling and betting services,Compensation of employees,1.754,Ratio of direct to total,Gambling and betting services,Compensation of employees,0.361,total impact
520,Sports services and amusement and recreation services,Compensation of employees,1.408,Ratio of direct to total,Sports services and amusement and recreation services,Compensation of employees,0.574,total impact
521,Services furnished by membership organisations,Compensation of employees,1.406,Ratio of direct to total,Services furnished by membership organisations,Compensation of employees,0.664,total impact
522,Repair services of computers and personal and household goods,Compensation of employees,1.39,Ratio of direct to total,Repair services of computers and personal and household goods,Compensation of employees,0.496,total impact
523,Other personal services,Compensation of employees,1.283,Ratio of direct to total,Other personal services,Compensation of employees,0.303,total impact
524,Services of households as employers of domestic personnel,Compensation of employees,1.0,Ratio of direct to total,Services of households as employers of domestic personnel,Compensation of employees,1.0,total impact
525,"Products of agriculture, hunting and related services",Gross operating surplus and mixed income,1.584,Ratio of direct to total,"Products of agriculture, hunting and related services",Gross operating surplus and mixed income,0.521,total impact
526,"Products of forestry, logging and related services",Gross operating surplus and mixed income,2.358,Ratio of direct to total,"Products of forestry, logging and related services",Gross operating surplus and mixed income,0.281,total impact
527,Fish and other fishing products; aquaculture products; support services to fishing,Gross operating surplus and mixed income,2.508,Ratio of direct to total,Fish and other fishing products; aquaculture products; support services to fishing,Gross operating surplus and mixed income,0.302,total impact
528,Coal and lignite,Gross operating surplus and mixed income,1.579,Ratio of direct to total,Coal and lignite,Gross operating surplus and mixed income,0.426,total impact
529,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Gross operating surplus and mixed income,1.191,Ratio of direct to total,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Gross operating surplus and mixed income,0.653,total impact
530,Other mining and quarrying products,Gross operating surplus and mixed income,1.867,Ratio of direct to total,Other mining and quarrying products,Gross operating surplus and mixed income,0.285,total impact
531,Mining support services,Gross operating surplus and mixed income,6.419,Ratio of direct to total,Mining support services,Gross operating surplus and mixed income,0.224,total impact
532,Preserved meat and meat products,Gross operating surplus and mixed income,5.417,Ratio of direct to total,Preserved meat and meat products,Gross operating surplus and mixed income,0.334,total impact
533,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Gross operating surplus and mixed income,3.981,Ratio of direct to total,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Gross operating surplus and mixed income,0.315,total impact
534,Vegetable and animal oils and fats,Gross operating surplus and mixed income,3.259,Ratio of direct to total,Vegetable and animal oils and fats,Gross operating surplus and mixed income,0.253,total impact
535,Dairy products,Gross operating surplus and mixed income,3.338,Ratio of direct to total,Dairy products,Gross operating surplus and mixed income,0.418,total impact
536,"Grain mill products, starches and starch products",Gross operating surplus and mixed income,3.648,Ratio of direct to total,"Grain mill products, starches and starch products",Gross operating surplus and mixed income,0.321,total impact
537,Bakery and farinaceous products,Gross operating surplus and mixed income,2.653,Ratio of direct to total,Bakery and farinaceous products,Gross operating surplus and mixed income,0.27,total impact
538,Other food products,Gross operating surplus and mixed income,2.249,Ratio of direct to total,Other food products,Gross operating surplus and mixed income,0.277,total impact
539,Prepared animal feeds,Gross operating surplus and mixed income,4.495,Ratio of direct to total,Prepared animal feeds,Gross operating surplus and mixed income,0.334,total impact
540,Alcoholic beverages  & Tobacco products,Gross operating surplus and mixed income,1.811,Ratio of direct to total,Alcoholic beverages  & Tobacco products,Gross operating surplus and mixed income,0.407,total impact
541,Soft drinks,Gross operating surplus and mixed income,1.612,Ratio of direct to total,Soft drinks,Gross operating surplus and mixed income,0.424,total impact
542,Textiles,Gross operating surplus and mixed income,1.405,Ratio of direct to total,Textiles,Gross operating surplus and mixed income,0.295,total impact
543,Wearing apparel,Gross operating surplus and mixed income,1.508,Ratio of direct to total,Wearing apparel,Gross operating surplus and mixed income,0.317,total impact
544,Leather and related products,Gross operating surplus and mixed income,1.984,Ratio of direct to total,Leather and related products,Gross operating surplus and mixed income,0.261,total impact
545,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Gross operating surplus and mixed income,1.718,Ratio of direct to total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Gross operating surplus and mixed income,0.23,total impact
546,Paper and paper products,Gross operating surplus and mixed income,2.353,Ratio of direct to total,Paper and paper products,Gross operating surplus and mixed income,0.211,total impact
547,Printing and recording services,Gross operating surplus and mixed income,1.741,Ratio of direct to total,Printing and recording services,Gross operating surplus and mixed income,0.224,total impact
548,Coke and refined petroleum products,Gross operating surplus and mixed income,1.326,Ratio of direct to total,Coke and refined petroleum products,Gross operating surplus and mixed income,0.107,total impact
549,"Paints, varnishes and similar coatings, printing ink and mastics",Gross operating surplus and mixed income,2.603,Ratio of direct to total,"Paints, varnishes and similar coatings, printing ink and mastics",Gross operating surplus and mixed income,0.195,total impact
550,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Gross operating surplus and mixed income,1.492,Ratio of direct to total,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Gross operating surplus and mixed income,0.361,total impact
551,Other chemical products,Gross operating surplus and mixed income,1.746,Ratio of direct to total,Other chemical products,Gross operating surplus and mixed income,0.256,total impact
552,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Gross operating surplus and mixed income,2.379,Ratio of direct to total,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Gross operating surplus and mixed income,0.218,total impact
553,Petrochemicals - 20.14/16/17/60,Gross operating surplus and mixed income,2.447,Ratio of direct to total,Petrochemicals - 20.14/16/17/60,Gross operating surplus and mixed income,0.219,total impact
554,"Dyestuffs, agro-chemicals - 20.12/20",Gross operating surplus and mixed income,1.445,Ratio of direct to total,"Dyestuffs, agro-chemicals - 20.12/20",Gross operating surplus and mixed income,0.309,total impact
555,Basic pharmaceutical products and pharmaceutical preparations,Gross operating surplus and mixed income,1.377,Ratio of direct to total,Basic pharmaceutical products and pharmaceutical preparations,Gross operating surplus and mixed income,0.376,total impact
556,Rubber and plastic products,Gross operating surplus and mixed income,2.5,Ratio of direct to total,Rubber and plastic products,Gross operating surplus and mixed income,0.17,total impact
557,"Cement, lime, plaster and articles of concrete, cement and plaster",Gross operating surplus and mixed income,1.663,Ratio of direct to total,"Cement, lime, plaster and articles of concrete, cement and plaster",Gross operating surplus and mixed income,0.293,total impact
558,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Gross operating surplus and mixed income,2.281,Ratio of direct to total,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Gross operating surplus and mixed income,0.22,total impact
559,Basic iron and steel,Gross operating surplus and mixed income,4.202,Ratio of direct to total,Basic iron and steel,Gross operating surplus and mixed income,0.18,total impact
560,Other basic metals and casting,Gross operating surplus and mixed income,1.565,Ratio of direct to total,Other basic metals and casting,Gross operating surplus and mixed income,0.234,total impact
561,Weapons and ammunition,Gross operating surplus and mixed income,4.648,Ratio of direct to total,Weapons and ammunition,Gross operating surplus and mixed income,0.178,total impact
562,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Gross operating surplus and mixed income,1.59,Ratio of direct to total,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Gross operating surplus and mixed income,0.222,total impact
563,"Computer, electronic and optical products",Gross operating surplus and mixed income,1.607,Ratio of direct to total,"Computer, electronic and optical products",Gross operating surplus and mixed income,0.237,total impact
564,Electrical equipment,Gross operating surplus and mixed income,2.202,Ratio of direct to total,Electrical equipment,Gross operating surplus and mixed income,0.206,total impact
565,Machinery and equipment n.e.c.,Gross operating surplus and mixed income,1.666,Ratio of direct to total,Machinery and equipment n.e.c.,Gross operating surplus and mixed income,0.264,total impact
566,"Motor vehicles, trailers and semi-trailers",Gross operating surplus and mixed income,1.992,Ratio of direct to total,"Motor vehicles, trailers and semi-trailers",Gross operating surplus and mixed income,0.216,total impact
567,Ships and boats,Gross operating surplus and mixed income,1.988,Ratio of direct to total,Ships and boats,Gross operating surplus and mixed income,0.277,total impact
568,Air and spacecraft and related machinery,Gross operating surplus and mixed income,2.089,Ratio of direct to total,Air and spacecraft and related machinery,Gross operating surplus and mixed income,0.254,total impact
569,Other transport equipment - 30.2/4/9,Gross operating surplus and mixed income,2.154,Ratio of direct to total,Other transport equipment - 30.2/4/9,Gross operating surplus and mixed income,0.288,total impact
570,Furniture,Gross operating surplus and mixed income,1.831,Ratio of direct to total,Furniture,Gross operating surplus and mixed income,0.225,total impact
571,Other manufactured goods,Gross operating surplus and mixed income,1.498,Ratio of direct to total,Other manufactured goods,Gross operating surplus and mixed income,0.257,total impact
572,Repair and maintenance of ships and boats,Gross operating surplus and mixed income,1.304,Ratio of direct to total,Repair and maintenance of ships and boats,Gross operating surplus and mixed income,0.386,total impact
573,Repair and maintenance of aircraft and spacecraft,Gross operating surplus and mixed income,2.074,Ratio of direct to total,Repair and maintenance of aircraft and spacecraft,Gross operating surplus and mixed income,0.293,total impact
574,Rest of repair; Installation - 33.11-14/17/19/20,Gross operating surplus and mixed income,1.706,Ratio of direct to total,Rest of repair; Installation - 33.11-14/17/19/20,Gross operating surplus and mixed income,0.254,total impact
575,"Electricity, transmission and distribution",Gross operating surplus and mixed income,2.965,Ratio of direct to total,"Electricity, transmission and distribution",Gross operating surplus and mixed income,0.434,total impact
576,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Gross operating surplus and mixed income,3.026,Ratio of direct to total,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Gross operating surplus and mixed income,0.368,total impact
577,Natural water; water treatment and supply services,Gross operating surplus and mixed income,1.256,Ratio of direct to total,Natural water; water treatment and supply services,Gross operating surplus and mixed income,0.583,total impact
578,Sewerage services; sewage sludge,Gross operating surplus and mixed income,1.153,Ratio of direct to total,Sewerage services; sewage sludge,Gross operating surplus and mixed income,0.725,total impact
579,"Waste collection, treatment and disposal services; materials recovery services",Gross operating surplus and mixed income,2.554,Ratio of direct to total,"Waste collection, treatment and disposal services; materials recovery services",Gross operating surplus and mixed income,0.29,total impact
580,Remediation services and other waste management services,Gross operating surplus and mixed income,1.709,Ratio of direct to total,Remediation services and other waste management services,Gross operating surplus and mixed income,0.535,total impact
581,Construction,Gross operating surplus and mixed income,1.952,Ratio of direct to total,Construction,Gross operating surplus and mixed income,0.41,total impact
582,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Gross operating surplus and mixed income,1.757,Ratio of direct to total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Gross operating surplus and mixed income,0.246,total impact
583,"Wholesale trade services, except of motor vehicles and motorcycles",Gross operating surplus and mixed income,1.861,Ratio of direct to total,"Wholesale trade services, except of motor vehicles and motorcycles",Gross operating surplus and mixed income,0.269,total impact
584,"Retail trade services, except of motor vehicles and motorcycles",Gross operating surplus and mixed income,1.622,Ratio of direct to total,"Retail trade services, except of motor vehicles and motorcycles",Gross operating surplus and mixed income,0.325,total impact
585,Rail transport services,Gross operating surplus and mixed income,3.367,Ratio of direct to total,Rail transport services,Gross operating surplus and mixed income,0.257,total impact
586,"Land transport services and transport services via pipelines, excluding rail transport",Gross operating surplus and mixed income,2.071,Ratio of direct to total,"Land transport services and transport services via pipelines, excluding rail transport",Gross operating surplus and mixed income,0.224,total impact
587,Water transport services,Gross operating surplus and mixed income,1.46,Ratio of direct to total,Water transport services,Gross operating surplus and mixed income,0.273,total impact
588,Air transport services,Gross operating surplus and mixed income,3.331,Ratio of direct to total,Air transport services,Gross operating surplus and mixed income,0.185,total impact
589,Warehousing and support services for transportation,Gross operating surplus and mixed income,2.651,Ratio of direct to total,Warehousing and support services for transportation,Gross operating surplus and mixed income,0.227,total impact
590,Postal and courier services,Gross operating surplus and mixed income,1.771,Ratio of direct to total,Postal and courier services,Gross operating surplus and mixed income,0.232,total impact
591,Accommodation services,Gross operating surplus and mixed income,1.709,Ratio of direct to total,Accommodation services,Gross operating surplus and mixed income,0.356,total impact
592,Food and beverage serving services,Gross operating surplus and mixed income,2.167,Ratio of direct to total,Food and beverage serving services,Gross operating surplus and mixed income,0.257,total impact
593,Publishing services,Gross operating surplus and mixed income,1.588,Ratio of direct to total,Publishing services,Gross operating surplus and mixed income,0.335,total impact
594,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Gross operating surplus and mixed income,1.604,Ratio of direct to total,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Gross operating surplus and mixed income,0.451,total impact
595,Telecommunications services,Gross operating surplus and mixed income,1.296,Ratio of direct to total,Telecommunications services,Gross operating surplus and mixed income,0.377,total impact
596,"Computer programming, consultancy and related services",Gross operating surplus and mixed income,1.865,Ratio of direct to total,"Computer programming, consultancy and related services",Gross operating surplus and mixed income,0.252,total impact
597,Information services,Gross operating surplus and mixed income,1.492,Ratio of direct to total,Information services,Gross operating surplus and mixed income,0.363,total impact
598,"Financial services, except insurance and pension funding",Gross operating surplus and mixed income,1.528,Ratio of direct to total,"Financial services, except insurance and pension funding",Gross operating surplus and mixed income,0.352,total impact
599,"Insurance, reinsurance and pension funding services, except compulsory social security",Gross operating surplus and mixed income,1.666,Ratio of direct to total,"Insurance, reinsurance and pension funding services, except compulsory social security",Gross operating surplus and mixed income,0.461,total impact
600,Services auxiliary to financial services and insurance services,Gross operating surplus and mixed income,1.504,Ratio of direct to total,Services auxiliary to financial services and insurance services,Gross operating surplus and mixed income,0.378,total impact
601,Real estate services on a fee or contract basis,Gross operating surplus and mixed income,1.817,Ratio of direct to total,Real estate services on a fee or contract basis,Gross operating surplus and mixed income,0.278,total impact
602,Owner-Occupiers' Housing Services,Gross operating surplus and mixed income,1.057,Ratio of direct to total,Owner-Occupiers' Housing Services,Gross operating surplus and mixed income,0.916,total impact
