,product,variable,value,factor,product,variable,value,factor
85,"Other professional, scientific and technical services",Intermediate consumption at basic prices,1.742,Ratio of direct to total,"Other professional, scientific and technical services",Intermediate consumption at basic prices,0.869,total impact
86,Veterinary services,Intermediate consumption at basic prices,1.589,Ratio of direct to total,Veterinary services,Intermediate consumption at basic prices,0.357,total impact
87,Rental and leasing services,Intermediate consumption at basic prices,1.612,Ratio of direct to total,Rental and leasing services,Intermediate consumption at basic prices,0.506,total impact
88,Employment services,Intermediate consumption at basic prices,1.528,Ratio of direct to total,Employment services,Intermediate consumption at basic prices,0.505,total impact
89,"Travel agency, tour operator and other reservation services and related services",Intermediate consumption at basic prices,1.732,Ratio of direct to total,"Travel agency, tour operator and other reservation services and related services",Intermediate consumption at basic prices,0.973,total impact
90,Security and investigation services,Intermediate consumption at basic prices,1.634,Ratio of direct to total,Security and investigation services,Intermediate consumption at basic prices,0.613,total impact
91,Services to buildings and landscape,Intermediate consumption at basic prices,1.801,Ratio of direct to total,Services to buildings and landscape,Intermediate consumption at basic prices,0.869,total impact
92,"Office administrative, office support and other business support services",Intermediate consumption at basic prices,1.651,Ratio of direct to total,"Office administrative, office support and other business support services",Intermediate consumption at basic prices,0.599,total impact
93,Public administration and defence services; compulsory social security services,Intermediate consumption at basic prices,1.669,Ratio of direct to total,Public administration and defence services; compulsory social security services,Intermediate consumption at basic prices,0.556,total impact
94,Education services,Intermediate consumption at basic prices,1.615,Ratio of direct to total,Education services,Intermediate consumption at basic prices,0.407,total impact
95,Human health services,Intermediate consumption at basic prices,1.649,Ratio of direct to total,Human health services,Intermediate consumption at basic prices,0.477,total impact
96,Residential Care  & Social Work Activities,Intermediate consumption at basic prices,1.641,Ratio of direct to total,Residential Care  & Social Work Activities,Intermediate consumption at basic prices,0.582,total impact
97,"Creative, arts and entertainment services",Intermediate consumption at basic prices,1.656,Ratio of direct to total,"Creative, arts and entertainment services",Intermediate consumption at basic prices,0.646,total impact
98,"Libraries, archives, museums and other cultural services",Intermediate consumption at basic prices,1.709,Ratio of direct to total,"Libraries, archives, museums and other cultural services",Intermediate consumption at basic prices,0.644,total impact
99,Gambling and betting services,Intermediate consumption at basic prices,1.629,Ratio of direct to total,Gambling and betting services,Intermediate consumption at basic prices,0.565,total impact
100,Sports services and amusement and recreation services,Intermediate consumption at basic prices,1.737,Ratio of direct to total,Sports services and amusement and recreation services,Intermediate consumption at basic prices,0.611,total impact
101,Services furnished by membership organisations,Intermediate consumption at basic prices,1.685,Ratio of direct to total,Services furnished by membership organisations,Intermediate consumption at basic prices,0.647,total impact
102,Repair services of computers and personal and household goods,Intermediate consumption at basic prices,1.567,Ratio of direct to total,Repair services of computers and personal and household goods,Intermediate consumption at basic prices,0.447,total impact
103,Other personal services,Intermediate consumption at basic prices,1.533,Ratio of direct to total,Other personal services,Intermediate consumption at basic prices,0.252,total impact
104,Services of households as employers of domestic personnel,Intermediate consumption at basic prices,,Ratio of direct to total,Services of households as employers of domestic personnel,Intermediate consumption at basic prices,0.0,total impact
105,"Products of agriculture, hunting and related services","Use of imported products, cif",6.42,Ratio of direct to total,"Products of agriculture, hunting and related services","Use of imported products, cif",0.151,total impact
106,"Products of forestry, logging and related services","Use of imported products, cif",12.425,Ratio of direct to total,"Products of forestry, logging and related services","Use of imported products, cif",0.106,total impact
107,Fish and other fishing products; aquaculture products; support services to fishing,"Use of imported products, cif",1.69,Ratio of direct to total,Fish and other fishing products; aquaculture products; support services to fishing,"Use of imported products, cif",0.252,total impact
108,Coal and lignite,"Use of imported products, cif",4.826,Ratio of direct to total,Coal and lignite,"Use of imported products, cif",0.126,total impact
109,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Use of imported products, cif",4.096,Ratio of direct to total,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Use of imported products, cif",0.083,total impact
110,Other mining and quarrying products,"Use of imported products, cif",1.543,Ratio of direct to total,Other mining and quarrying products,"Use of imported products, cif",0.283,total impact
111,Mining support services,"Use of imported products, cif",2.081,Ratio of direct to total,Mining support services,"Use of imported products, cif",0.2,total impact
112,Preserved meat and meat products,"Use of imported products, cif",4.967,Ratio of direct to total,Preserved meat and meat products,"Use of imported products, cif",0.139,total impact
113,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Use of imported products, cif",8.812,Ratio of direct to total,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Use of imported products, cif",0.137,total impact
114,Vegetable and animal oils and fats,"Use of imported products, cif",1.335,Ratio of direct to total,Vegetable and animal oils and fats,"Use of imported products, cif",0.372,total impact
115,Dairy products,"Use of imported products, cif",6.632,Ratio of direct to total,Dairy products,"Use of imported products, cif",0.134,total impact
116,"Grain mill products, starches and starch products","Use of imported products, cif",2.546,Ratio of direct to total,"Grain mill products, starches and starch products","Use of imported products, cif",0.211,total impact
117,Bakery and farinaceous products,"Use of imported products, cif",3.416,Ratio of direct to total,Bakery and farinaceous products,"Use of imported products, cif",0.141,total impact
118,Other food products,"Use of imported products, cif",1.756,Ratio of direct to total,Other food products,"Use of imported products, cif",0.203,total impact
119,Prepared animal feeds,"Use of imported products, cif",2.856,Ratio of direct to total,Prepared animal feeds,"Use of imported products, cif",0.197,total impact
120,Alcoholic beverages  & Tobacco products,"Use of imported products, cif",3.424,Ratio of direct to total,Alcoholic beverages  & Tobacco products,"Use of imported products, cif",0.137,total impact
121,Soft drinks,"Use of imported products, cif",5.374,Ratio of direct to total,Soft drinks,"Use of imported products, cif",0.148,total impact
122,Textiles,"Use of imported products, cif",1.267,Ratio of direct to total,Textiles,"Use of imported products, cif",0.227,total impact
123,Wearing apparel,"Use of imported products, cif",1.794,Ratio of direct to total,Wearing apparel,"Use of imported products, cif",0.119,total impact
124,Leather and related products,"Use of imported products, cif",1.323,Ratio of direct to total,Leather and related products,"Use of imported products, cif",0.273,total impact
125,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Use of imported products, cif",1.197,Ratio of direct to total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Use of imported products, cif",0.35,total impact
126,Paper and paper products,"Use of imported products, cif",1.366,Ratio of direct to total,Paper and paper products,"Use of imported products, cif",0.317,total impact
127,Printing and recording services,"Use of imported products, cif",1.393,Ratio of direct to total,Printing and recording services,"Use of imported products, cif",0.269,total impact
128,Coke and refined petroleum products,"Use of imported products, cif",1.018,Ratio of direct to total,Coke and refined petroleum products,"Use of imported products, cif",0.804,total impact
129,"Paints, varnishes and similar coatings, printing ink and mastics","Use of imported products, cif",1.42,Ratio of direct to total,"Paints, varnishes and similar coatings, printing ink and mastics","Use of imported products, cif",0.313,total impact
130,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Use of imported products, cif",1.679,Ratio of direct to total,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Use of imported products, cif",0.195,total impact
131,Other chemical products,"Use of imported products, cif",1.238,Ratio of direct to total,Other chemical products,"Use of imported products, cif",0.377,total impact
132,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Use of imported products, cif",1.179,Ratio of direct to total,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Use of imported products, cif",0.464,total impact
133,Petrochemicals - 20.14/16/17/60,"Use of imported products, cif",1.485,Ratio of direct to total,Petrochemicals - 20.14/16/17/60,"Use of imported products, cif",0.437,total impact
134,"Dyestuffs, agro-chemicals - 20.12/20","Use of imported products, cif",1.192,Ratio of direct to total,"Dyestuffs, agro-chemicals - 20.12/20","Use of imported products, cif",0.322,total impact
135,Basic pharmaceutical products and pharmaceutical preparations,"Use of imported products, cif",1.354,Ratio of direct to total,Basic pharmaceutical products and pharmaceutical preparations,"Use of imported products, cif",0.224,total impact
136,Rubber and plastic products,"Use of imported products, cif",1.286,Ratio of direct to total,Rubber and plastic products,"Use of imported products, cif",0.393,total impact
137,"Cement, lime, plaster and articles of concrete, cement and plaster","Use of imported products, cif",1.451,Ratio of direct to total,"Cement, lime, plaster and articles of concrete, cement and plaster","Use of imported products, cif",0.252,total impact
138,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Use of imported products, cif",1.423,Ratio of direct to total,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Use of imported products, cif",0.292,total impact
139,Basic iron and steel,"Use of imported products, cif",1.315,Ratio of direct to total,Basic iron and steel,"Use of imported products, cif",0.363,total impact
140,Other basic metals and casting,"Use of imported products, cif",1.12,Ratio of direct to total,Other basic metals and casting,"Use of imported products, cif",0.421,total impact
141,Weapons and ammunition,"Use of imported products, cif",1.875,Ratio of direct to total,Weapons and ammunition,"Use of imported products, cif",0.256,total impact
142,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Use of imported products, cif",1.221,Ratio of direct to total,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Use of imported products, cif",0.292,total impact
143,"Computer, electronic and optical products","Use of imported products, cif",1.407,Ratio of direct to total,"Computer, electronic and optical products","Use of imported products, cif",0.173,total impact
