Code,Parent,Description
93.2,93,Amusement and recreation services
94,S,Services furnished by membership organisations
94.1,94,"Services furnished by business, employers and professional membership organisations"
94.2,94,Services furnished by trade unions
94.9,94,Services furnished by other membership organisations
95,S,Repair services of computers and personal and household goods
95.1,95,Repair services of computers and communication equipment
95.2,95,Repair services of personal and household goods
96,S,Other personal services
96,96,Other personal services
97,T,Services of households as employers of domestic personnel
97,97,Services of households as employers of domestic personnel
98,T,Undifferentiated goods and services produced by private households for own use
98.1,98,Undifferentiated goods produced by private households for own use
98.2,98,Undifferentiated services produced by private households for own use
99,U,Services provided by extraterritorial organisations and bodies
99,99,Services provided by extraterritorial organisations and bodies
